author	title	type	collection	year	_merge	category
"[{:family=>""Hartmann"", :given=>""D.L.""}]"	Global Physical Climate			1994	both	Required
"[{:family=>""Houghton"", :given=>""J.T.""}, {:others=>true}]"	Climate Change 1994: Radiative Forcing of Climate Change			1995	both	Optional
"[{:family=>""Schlesinger"", :given=>""W.T.""}]"	Biogeochemistry - An Analysis of Global Change			1991	both	Optional
"[{:family=>""Ruddiman"", :given=>""W.L.""}]"	Earth’s Climate Past and Future			2000	both	Optional
"[{:family=>""Watson"", :given=>""R.""}]"	T.			2002	both	Optional
"[{:family=>""Press"", :given=>""F.""}, {:family=>""Siever"", :given=>""R.""}]"	Earth			1982	both	Optional
"[{:family=>""Imbrie"", :given=>""J.""}, {:family=>""Imbrie"", :given=>""K.P.""}]"	Ice Ages: Solving the Mystery			2005	both	Optional
"[{:family=>""Wilson"", :given=>""R.C.L.""}, {:family=>""Drury"", :given=>""S.A.""}, {:family=>""Chapman"", :given=>""J.A.""}]"	The Great Ice Age: Climate Change and Life			1999	both	Optional
"[{:family=>""Crowley"", :given=>""T.J.""}, {:family=>""North"", :given=>""G.R.""}]"	Paleoclimatology			1995	both	Optional
"[{:family=>""Peixoto"", :given=>""J.P.""}, {:family=>""Oort"", :given=>""A.H.""}]"	Physics of Climate			1992	both	Optional
"[{:family=>""Grove"", :given=>""J.M.""}]"	The Little Ice Age			1988	both	Optional
"[{:family=>""Henderson-Sellers"", :given=>""A.""}, {:family=>""McGuffie"", :given=>""K.""}]"	A Climate Modelling Primer			2005	both	Optional
"[{:family=>""Graedel"", :given=>""T.E.""}, {:family=>""Crutzen"", :given=>""P.""}]"	Atmospheric Change: An Earth System Perspective	book		1993	both	Optional
"[{:family=>""Cronin"", :given=>""T.M.""}]"	Principles of Paleoclimatology	book		1999	both	Optional
"[{:family=>""Kump"", :given=>""L.R.J.F.Kasting""}, {:family=>""Crane"", :given=>""R.G.""}]"	The Earth System			2003	both	Optional
"[{:family=>""Bradley"", :given=>""R.S.Paleoclimatology""}]"	Reconstructing Climates of the Quaternary			1999	both	Optional
"[{:family=>""Allegre"", :given=>""C.J.""}, {:family=>""Schneider"", :given=>""S.H.""}]"	The Evolution of the Earth	article-journal	Scientific American	1994-10	both	Required
"[{:family=>""Kasting"", :given=>""J.F.""}]"	Earth’s Early Atmosphere	article-journal	Science	1993	both	Required
"[{:family=>""Holland"", :given=>""H.D.""}]"	Evidence for Life on Earth more than 3850 Million Years Ago	article-journal	Science	1997	both	Required
"[{:family=>""Owen"", :given=>""T.""}, {:family=>""Cess"", :given=>""R.D.""}, {:family=>""Ramanathan"", :given=>""V.""}]"	Enhanced CO2 Greenhouse to Compensate for Reduced Solar Luminosity on Early Earth	article-journal	Nature	1979	both	Required
"[{:family=>""Walker"", :given=>""J.C.G.""}, {:family=>""Hays"", :given=>""P.B.""}, {:family=>""Kasting"", :given=>""J.F.""}]"	A Negative Feedback Mechanism for the Long-term Stabilization of Earth’s Surface Temperature	article-journal	J Geophys Res	1981	both	Required
"[{:family=>""Catling"", :given=>""D.C.""}, {:family=>""Zahnle"", :given=>""K.J.""}, {:family=>""McKay"", :given=>""C.P.""}]"	Biogenic Methane	article-journal	Science	2001	both	Optional
"[{:family=>""Holland"", :given=>""H.D.""}]"	When did the Earth’s Atmosphere become Oxic? A Reply	article-journal	Geochem News	1999-07	both	Optional
"[{:family=>""Holland"", :given=>""H.D.""}, {:family=>""Lazar"", :given=>""B.""}, {:family=>""McCaffrey"", :given=>""M.""}]"	Evolution of the Atmosphere and Oceans	article-journal	Nature	1986	both	Optional
"[{:family=>""Kasting"", :given=>""J.F.""}, {:family=>""Eggler"", :given=>""D.H.""}, {:family=>""Raeburn"", :given=>""S.P.""}]"	Mantle Redox Evolution and the Oxidation State of the Archean Atmosphere	article-journal	J Geol	1993	both	Optional
"[{:family=>""Kump"", :given=>""L.R.""}, {:family=>""Holland"", :given=>""H.D.""}]"	Iron in Precambrian Rocks: Implications for the Global Oxygen Budget of the Ancient Earth	article-journal	Geochim Cosmochim Acta	1992	both	Optional
"[{:family=>""Schopf"", :given=>""J.W.""}, {:family=>""Kudryavtsev"", :given=>""A.B.""}, {:family=>""Agresti"", :given=>""D.G.""}, {:family=>""Widowiak"", :given=>""T.J.""}, {:family=>""Czaja"", :given=>""A.D.""}]"	Laser-Raman Imagery of Earth’s Earliest Fossils	article-journal	Nature	2002	both	Optional
