author	title	type	collection	year	_merge	category
"[{:family=>""Smith"", :given=>""Robert""}, {:family=>""Smith"", :given=>""Thomas""}]"	Ecology and Field Biology			2001	both	Required
"[{:family=>""Carruthers"", :given=>""G.T.""}]"	Locusts in the Red Sea	article-journal	Nature	1889	both	Required
"[{:family=>""Vernadskii"", :given=>""V.I.""}]"	The Biosphere	chapter	Biosfera	1926	both	Required
"[{:family=>""Rowe"", :given=>""J.Stan""}]"	Biological Fallacy: Life Equals Organisms	article-journal	Bioscience	1992	both	Required
"[{:family=>""Remmert"", :given=>""Hermann""}]"	Ecology: the Basic Concept	chapter	Ecology	1980	both	Required
"[{:family=>""Marais"", :particle=>""Des""}, {:family=>""J"", :given=>""David""}]"	When did Photosynthesis Emerge on Earth?	article-journal	Science	2000	both	Required
"[{:family=>""Chyba"", :given=>""Christopher F.""}]"	Rethinking Earth’s Early Atmosphere	article-journal	Science	2005	both	Required
"[{:family=>""Kump"", :given=>""Lee R.""}]"	The Rise of Atmospheric Oxygen	article-journal	Nature	2008	both	Required
"[{:family=>""Kaiser"", :given=>""Jocelyn""}]"	Can Deep Bacteria Live on Nothing but Rocks and Water?	article-journal	Science	1995	both	Required
"[{:family=>""Jannasch"", :given=>""Holger W.""}]"	Life at the Sea Floor	article-journal	Nature	1995	both	Required
"[{:family=>""Lovley"", :given=>""Derek R.""}]"	Bug Juice: Harvesting Electricity with Microorganisms	article-journal	Nature Reviews Microbiology	2006	both	Required
"[{:family=>""Jetten"", :given=>""Mike""}, {:others=>true}]"	Microbiology and Application of the Anaerobic Ammonium Oxidation (‘anammox’) Process	article-journal	Current Opinion in Biotechnology	2001	both	Required
"[{:family=>""Morton"", :given=>""Oliver""}]"	Introduction	chapter	Eating the Sun	2008	both	Required
"[{:family=>""Chisholm"", :given=>""S.W.""}]"	What Limits Phytoplankton Growth	article-journal	Oceanus	1992	both	Required
"[{:family=>""Falkowski"", :given=>""Paul G.""}]"	The Ocean’s Invisible Forest	book		2002-08	both	Required
"[{:family=>""Galloway"", :given=>""James""}, {:others=>true}]"	Transformation of the Nitrogen Cycle: Recent Trends	article-journal	Science	2008	both	Required
"[{:family=>""Oki"", :given=>""Taikan""}, {:family=>""Kanae"", :given=>""Shinjiro""}]"	Global Hydrological Cycles and World Water Resources	article-journal	Science	2006	both	Required
"[{:family=>""Filippelli"", :given=>""Gabriel M.""}]"	The Global Phosphorus Cycle: Past	article-journal	Elements	2008	both	Required
"[{:family=>""Canadell"", :given=>""Josep G.""}, {:others=>true}]"	Contributions to Accelerating Atmospheric CO2 Growth from Economic Activity	article-journal	PNAS	2007	both	Required
"[{:family=>""Field"", :given=>""Christopher B.""}, {:family=>""Behrenfeld"", :given=>""Michael J.""}, {:family=>""Randerson"", :given=>""James T.""}, {:family=>""Falkowski"", :given=>""Paul""}]"	Primary Production of the Biosphere: Integrating Terrestrial and Oceanic Components	article-journal	Science	1998	both	Required
"[{:family=>""Falkowski"", :given=>""Paul""}, {:others=>true}]"	The Global Carbon Cycle: A Test of Our Knowledge of Earth as a System	article-journal	Science	2000	both	Required
"[{:family=>""Doney"", :given=>""Scott C.""}, {:family=>""Fabry"", :given=>""Victoria J.""}, {:family=>""Feely"", :given=>""Richard A.""}, {:family=>""Kleypas"", :given=>""Joan A.""}]"	Ocean Acidification: The Other CO2 Problem	article-journal	Annual Review of Marine Science	2009	both	Required
"[{:family=>""Redfield"", :given=>""Alfred C.""}]"	On the Proportions of Organic Derivatives in Seawater and their Relation to the Composition of Plankton	chapter	Chapter 5 in James Johnstone Memorial Volume	1934	both	Required
"[{:family=>""Likens"", :given=>""Gene""}]"	Some Perspectives on Long-term Biogeochemical Research from the Hubbard Brook Ecosystem Study	article-journal	Ecology	2004	both	Required
	A Changing Climate of Opinion?	article-journal	The Economist	2008-09-04	both	Required
"[{:family=>""Lovelock"", :given=>""James""}]"	A Geophysiologist’s Thoughts on Geoengineering	article-journal	Philosophical Transactions of the Royal Society A	2008	both	Required
"[{:family=>""Schiermeier"", :given=>""Quirin""}]"	Mixing the Oceans Proposed to Reduce Global Warming	article-journal	Naturenews	2007-09-26	both	Required
