author	title	type	collection	year	_merge	category
"[{:family=>""Koo"", :given=>""Richard C.""}]"	The Holy Grail of Macroeconomics: Lessons from Japan’s Great Recession			2009	both	Required
"[{:family=>""Morris"", :given=>""Charles R.""}]"	The Two Trillion Dollar Meltdown: Easy Money			2009	both	Required
"[{:family=>""Taylor"", :given=>""John B.""}]"	Getting off Track: How Government Actions and Interventions Caused			2009	both	Required
"[{:family=>""Temin"", :given=>""Peter""}]"	Lessons from the Great Depression			1991	both	Required
"[{:family=>""Crafts"", :given=>""Nicholas""}, {:family=>""Toniolo"", :given=>""Gianni""}]"	Economic Growth in Europe since 1945			1996	both	Required
"[{:family=>""Goldin"", :given=>""Claudia""}, {:family=>""Katz"", :given=>""Lawrence F.""}]"	The Race between Education and Technology			2008	both	Required
"[{:family=>""Kindleberger"", :given=>""Charles P.""}, {:family=>""Laffargue"", :given=>""Jean-Pierre""}]"	Financial Crises: Theory			1982	both	Required
"[{:family=>""Bartels"", :given=>""Larry M.""}]"	Unequal Democracy: The Political Economy of the New Gilded Age			2008	both	Required
"[{:family=>""Duncan-Jones"", :given=>""Richard""}]"	Money and Government in the Roman Empire			1998	both	Required
"[{:family=>""Krugman"", :given=>""Paul""}]"	How Did Economists Get It So Wrong?	article-journal	New York Times Sunday Magazine	2009-09-06	both	Required
"[{:family=>""Minsky"", :given=>""Hyman P.""}]"	The Financial-Instability Hypothesis: Capitalist Processes and the Behavior of the Economy	chapter	Chapter 2 in Financial Crises: Theory	1982	both	Required
"[{:family=>""Krugman"", :given=>""Paul""}]"	A Model of Balance-of-Payments Crises	article-journal	Journal of Money	1979-08	both	Required
"[{:family=>""Temin"", :given=>""Peter""}]"	The Anglo-American Business Cycle	article-journal	Economic History Review	1974-05	both	Required
"[{:family=>""Calomiris"", :given=>""Charles W.""}]"	Is Deposit Insurance Necessary? A Historical Perspective	article-journal	Journal of Economic History	1990-06	both	Required
"[{:family=>""Temin"", :given=>""Peter""}]"	Free Land and Federalism: A Synoptic View of American Economic History	article-journal	Journal of Interdisciplinary History	1991	both	Required
"[{:family=>""Voth"", :given=>""Hans-Joachim""}]"	South Sea Bubble	chapter	New Palgrave Dictionary of Economics	2008	both	Required
"[{:family=>""Temin"", :given=>""Peter""}, {:family=>""Voth"", :given=>""Hans-Joachim""}]"	Riding the South Sea Bubble	article-journal	American Economic Review	2004-12	both	Required
"[{:family=>""Reinhart"", :given=>""Carmen M.""}, {:family=>""Rogoff"", :given=>""Kenneth S.""}]"	Banking Crises: An Equal Opportunity Menace	article-journal	National Bureau of Economic Research Working Paper	2008-12	both	Required
"[{:family=>""Temin"", :given=>""Peter""}]"	The German Crisis of 1931: Evidence and Tradition	article-journal	Cliometrica	2008	both	Required
