Required	[{:family=>"Silbey", :given=>"R."}, {:family=>"Alberty", :given=>"R."}, {:family=>"Bawendi", :given=>"M."}]	["Physical Chemistry"]			["2004"]
Required	[{:family=>"Dill", :given=>"Ken A."}, {:family=>"Bromberg", :given=>"Sarina"}]	["Molecular Driving Forces: Statistical Thermodynamics in Chemistry and Biology"]			["2002"]
Required	[{:family=>"Gaskell", :given=>"David R."}]	["Introduction to the thermodynamics of materials"]			["1995"]
Required	[{:family=>"Tinoco", :given=>"Ignacio", :suffix=>"Jr"}]	["Physical Chemistry: Principles and Applications in Biological Sciences"]			["2001"]
Required	[{:family=>"Levine", :given=>"Ira N."}]	["Physical Chemistry"]			["1994"]
Required	[{:family=>"Boal", :given=>"David H."}]	["Mechanics of the Cell"]			["2002"]
Required	[{:family=>"Atkins", :given=>"P."}, {:family=>"Paula", :given=>"J.", :particle=>"de"}]	["Physical Chemistry"]			["2001"]
Required	[{:family=>"Castellan", :given=>"G."}]	["Physical Chemistry"]			["1983"]
Required	[{:family=>"Chang", :given=>"R."}]	["Physical Chemistry for the Chemical and Biological Sciences"]			["2000"]
Required	[{:family=>"McQuarrie", :given=>"D."}, {:family=>"Simon", :given=>"J."}]	["Molecular Thermodynamics"]			["1999"]
Required	[{:family=>"Mortimer", :given=>"R."}]	["Physical Chemistry"]			["2000"]
Required	[{:family=>"Schroeder", :given=>"D."}]	["An Introduction to Thermal Physics"]			["1999"]
