Required	[{:family=>"Stanton", :given=>"D."}, {:family=>"White", :given=>"D.E."}]	["Constructive Combinatorics"]			
Required	[{:family=>"Benjamin", :given=>"T."}, {:family=>"Quinn", :given=>"J.J."}]	["Proofs That Really Count"]			
