author	title	type	collection	year	_merge	category
"[{:family=>""Ribe"", :given=>""N.""}, {:family=>""Christensen"", :given=>""U.""}, {:family=>""Theissing"", :given=>""J.""}]"	The dynamics of plume-ridge interaction	article-journal	Earth Planet Sci Lett	1995	both	Required
"[{:family=>""Ito"", :given=>""G.""}, {:family=>""Shen"", :given=>""Y.""}, {:family=>""Hirth"", :given=>""G.""}, {:family=>""Wolfe"", :given=>""C.""}]"	Mantle flow	article-journal	Earth Planet Sci Lett	1999	both	Required
"[{:family=>""White"", :given=>""W.M.""}, {:family=>""McBirney"", :given=>""A.R.""}, {:family=>""Duncan"", :given=>""R.A.""}]"	Petrology and Geochemistry of the Galapagos: Portrait of a Pathological Mantle Plume	article-journal	J Geophys Res	1993	both	Required
"[{:family=>""Richards"", :given=>""M.A.""}, {:family=>""Griffiths"", :given=>""R.W.""}]"	Thermal entrainment by deflected mantle plumes	article-journal	Nature	1989	both	Required
"[{:family=>""Schilling"", :given=>""J.G.""}]"	Upper mantle Heterogeneities and dynamics	article-journal	Nature	1985	both	Required
	Fluxes and excess temperatures of the mantle plumes inferred from their interaction with migrating mid-ocean ridges	article-journal	Nature	1991	left_only	Required
"[{:family=>""Wilson"", :given=>""D.S.""}, {:family=>""Hey"", :given=>""R.N.""}]"	History of rift propagation and magnetization intensity for the Cocos-Nazca spreading center	article-journal	J Geophys Res	1995	both	Required
"[{:family=>""Sinton"", :given=>""J.M.""}, {:family=>""Wilson"", :given=>""D.S.""}, {:family=>""Christie"", :given=>""D.M.""}, {:family=>""Hey"", :given=>""R.N.""}, {:family=>""Delaney"", :given=>""J.R.""}]"	Petrologic consequences of rift propagation on oceanic spreading ridges	article-journal	Earth Planet Sci Lett	1983	both	Required
"[{:family=>""Hieronymus"", :given=>""C.F.""}, {:family=>""Bercovici"", :given=>""D.""}]"	Discrete alternating hotspot islands formed by the interaction of magma transport and lithospheric flexure	article-journal	Nature	1999	both	Required
	Non-hotspot formation of volcanic chains: control of tectonic and flexural stresses on magma transport	article-journal	Earth Planet Sci Lett	2000	left_only	Required
"[{:family=>""Albers"", :given=>""M.""}, {:family=>""Christensen"", :given=>""U.R.""}]"	Channeling of plume flow beneath mid-ocean ridges	article-journal	Earth Planet Sci Lett	2001	both	Required
"[{:family=>""Ito"", :given=>""G.""}]"	Reykjanes ‘V’-shaped ridges originating from a pulsing and dehydrating mantle plume	article-journal	Nature	2001	both	Required
"[{:family=>""Korenaga"", :given=>""J.""}, {:family=>""Kelemen"", :given=>""P.B.""}]"	Major element heterogeneity in the mantle source of the North Atlantic igneous province	article-journal	Earth Planet Sci Lett	2000	both	Required
"[{:family=>""Gudmundsson"", :given=>""O.""}, {:family=>""Brandsdottir"", :given=>""B.""}, {:family=>""Menke"", :given=>""W.""}, {:family=>""Olafsson"", :given=>""H.""}]"	The magma chamber of Katla volcano in the propagating volcanic zone of south Iceland revealed by seismic undershooting	article-journal	Geophys J Int	1994	both	Required
"[{:family=>""Fox"", :given=>""C.G.""}]"	In situ ground deformation measurements from the summit of Axial Volcano during the 1998 volcanic episode	article-journal	Geophys Res Lett	1999	both	Required
"[{:family=>""Embley"", :given=>""R.W.""}, {:family=>""Chadwick"", :given=>""W.W."", :suffix=>""Jr.""}, {:family=>""Perfit"", :given=>""M.R.""}, {:family=>""Smith"", :given=>""M.C.""}, {:family=>""Delaney"", :given=>""J.R.""}]"	Recent eruptions on the CoAxial segment of the Juan de Fuca Ridge: Implications for mid-ocean ridge accretion processe.s	article-journal	J Geophys Res	2000	both	Required
"[{:family=>""Steingerger"", :given=>""B.""}, {:family=>""O’Connell"", :given=>""R.J.""}]"	Effects of mantle flow on hotspot motion	chapter	The History and Dynamics of Global Plate Motions	2000	both	Required
"[{:family=>""Shen"", :given=>""Y.""}, {:others=>true}]"	Seismic evidence for a lower mantle origin of the Iceland plume	article-journal	Nature	1998	both	Required
