author	title	type	collection	year	_merge	category
"[{:family=>""Arrhenius"", :given=>""G.""}, {:family=>""Lepland"", :given=>""A.""}]"	Accretion of Moon and Earth and the emergence of life	article-journal	Chemical Geology	2000	left_only	Required
"[{:family=>""Zuilen"", :particle=>""van""}, {:family=>""A."", :given=>""Mark""}, {:family=>""Lepland"", :given=>""A.""}, {:family=>""Jan Teranes"", :given=>""J.Finarelli""}, {:family=>""Wahlen"", :given=>""M.""}, {:family=>""Arrhenius"", :given=>""G.""}]"	Graphite and carbonates in the 3.8 Ga old Isua Supracrustal Belt	article-journal	Precambrian Research	2003	left_only	Required
"[{:family=>""Arrhenius"", :given=>""O.Gustaf""}]"	Crystals and Life	article-journal	Helvetica Chimica	2003	left_only	Required
"[{:family=>""Melosh"", :given=>""H.J.""}]"	Giant Impacts and the Thermal State of the Early Earth	chapter	Origin of the Earth	1990	both	Required
	Giant Impacts and the Thermal State of the Early Earth	chapter	Encyclopedia of Planetary Sciences	1997	left_only	Required
"[{:family=>""Soloman"", :given=>""S.C.""}, {:family=>""Aharonson"", :given=>""O.""}, {:others=>true}]"	New Perspectives on Ancient Mars	article-journal	Science	2005	left_only	Required
"[{:family=>""Hardie"", :given=>""L.A.""}]"	Secular variations in seawater chemistry: An explanation for the coupled secular variation in the mineralogies of marine limestones and potash evaporites over the past 600 My	article-journal	Geology	1996	left_only	Required
"[{:family=>""Holland"", :given=>""H.D.""}]"	The geologic history of seawater	chapter	The Oceans and Marine Geochemistry	2006	left_only	Required
"[{:family=>""Lowenstein"", :given=>""T.K.""}, {:family=>""Timofeeff"", :given=>""M.N.""}, {:family=>""Brennan"", :given=>""S.T.""}, {:family=>""Hardie"", :given=>""L.A.""}, {:family=>""Demicco"", :given=>""R.V.""}]"	Oscillations in Phanerozoic seawater chemistry: Evidence from fluid inclusions	article-journal	Science	2001	left_only	Required
	Secular variation in seawater chemistry and the origin of calcium chloride basinal brines	article-journal	Geology	2003	left_only	Required
"[{:family=>""Weiss"", :given=>""Benjamin P.""}, {:family=>""Vali"", :given=>""Hojatollah""}, {:family=>""Baudenbacher’"", :given=>""Franz J.""}, {:family=>""Kirschvink"", :given=>""Joseph L.""}, {:family=>""Stewart"", :given=>""Sarah T.""}, {:family=>""Shuster"", :given=>""David L.""}]"	Records of an ancient Martian magnetic field in ALH84001	article-journal	Earth and Planetary Science Letters	2002	left_only	Required
"[{:family=>""Weiss"", :given=>""Benjamin P.""}, {:family=>""Shuster"", :given=>""David L.""}, {:family=>""Stewart"", :given=>""G.Sarah T.""}]"	Temperatures on Mars from 40Ar/39Ar thermochronology of ALH84001	article-journal	Earth and Planetary Science Letters	2002	left_only	Required
"[{:family=>""Stevenson"", :given=>""David J.""}]"	Mars’ Core and Magnetism	article-journal	Nature	2001-07-12	left_only	Required
"[{:family=>""Halliday"", :given=>""A.N.""}]"	The Origin and Earliest History of the Earth	chapter	Meteorites	2006	both	Required
"[{:family=>""Chambers"", :given=>""J.E.""}]"	Planet Formation	chapter	Meteorites	2006	left_only	Required
"[{:family=>""Pearson"", :given=>""Ann""}, {:family=>""Budin"", :given=>""Meytal""}, {:family=>""Brocks"", :given=>""Jochen J.""}]"	Phylogenetic and biochemical evidence for sterol synthesis in the bacterium Gemmata obscuriglobus	article-journal	PNAS	2003-12-23	left_only	Required
