author	title	type	collection	year	_merge	category
"[{:family=>""Nilson"", :given=>""A.H.""}, {:family=>""Darwin"", :given=>""D.""}, {:family=>""Dolan"", :given=>""C.W.""}]"	Design of Concrete Structures	book		2004	both	Required
"[{:family=>""Nilson"", :given=>""A.H.""}, {:family=>""Darwin"", :given=>""D.""}, {:family=>""Dolan"", :given=>""C.W.""}]"	Design of Concrete Structures	book		2004	both	Required
"[{:family=>""Nilson"", :given=>""A.H.""}, {:family=>""Darwin"", :given=>""D.""}, {:family=>""Dolan"", :given=>""C.W.""}]"	Design of Concrete Structures	book		2004	both	Optional
"[{:family=>""Nilson"", :given=>""A.H.""}, {:family=>""Darwin"", :given=>""D.""}, {:family=>""Dolan"", :given=>""C.W.""}]"	Design of Concrete Structures	book		2004	both	Optional
"[{:family=>""Institute"", :given=>""American Concrete""}]"	Fracture Mechanics of Concrete: Concepts	article-journal	ACI Committee	1989	both	Optional
"[{:family=>""Institute"", :given=>""American Concrete""}]"	Building Code Requirements for Structural Concrete (ACI 318-02),” and “Commentary (ACI 318-02	article-journal	ACI Committee	2002	both	Optional
"[{:family=>""Aitcin"", :given=>""P.C.""}]"	High-Performance Concrete	book		1998	both	Optional
"[{:family=>""Barker"", :given=>""A.L.L.""}]"	The Ultimate Load Theory Applied to the Design of Reinforced and Prestressed Concrete Frames	book		1956	both	Optional
"[{:family=>""Bazant"", :given=>""Z.P.""}]"	Fracture Mechanics of Concrete Structures	book		1992	both	Optional
"[{:family=>""Billington"", :given=>""D.P.""}]"	Thin Shell Concrete Structures	book		1982	both	Optional
"[{:family=>""Bresler"", :given=>""B.""}]"	Design Criteria for Reinforced Concrete Columns under Axial Load and Biaxial Bending	article-journal	ACI Journal	1960	both	Optional
"[{:family=>""Bresler"", :given=>""B.""}, {:family=>""Pister"", :given=>""K.S.""}]"	Failure of Plain Concrete under Combined Stresses	article-journal	ASCE Transactions	1955-08	both	Optional
	Reinforced Concrete Engineering: Volume I - Materials	book		1974	both	Optional
"[{:family=>""Buyukozturk"", :given=>""O.""}]"	Nonlinear Analysis of Reinforced Concrete Structures	article-journal	Computers and Structures	1977	both	Optional
"[{:family=>""Buyukozturk"", :given=>""O.""}]"	Imaging of Concrete Structures	article-journal	NDT & E International	1998	both	Optional
"[{:family=>""Buyukozturk"", :given=>""O.""}, {:family=>""Bazant"", :given=>""Z.P.""}]"	Creep Analysis of Structures	article-journal	Mathematical Modeling of Creep and Shrinkage of Concrete	1988	both	Optional
"[{:family=>""Buyukozturk"", :given=>""O.""}, {:family=>""Gunes"", :given=>""O.""}]"	Advances in Earthquake Risk Assessment and Hazard Reduction for Large Inventory of Structures with High Characteristic Variability	article-journal	ARI The Bulletin of The Istanbul Technical University	2002	both	Optional
"[{:family=>""Buyukozturk"", :given=>""O.""}, {:family=>""Nilson"", :given=>""A.H.""}]"	Deformation and Fracture of Particulate Composite	article-journal	Journal of the Engineering Mechanics Division	1972	both	Optional
"[{:family=>""Buyukozturk"", :given=>""O.""}, {:family=>""Shareef"", :given=>""S.S.""}]"	Constitutive Modeling of Concrete in Finite Element Analysis	article-journal	Computers & Structures	1985	both	Optional
"[{:family=>""Chattejee"", :given=>""B.K.""}]"	Theory and Design of Concrete Shells	book		1988	both	Optional
