Required	[{:family=>"Barnet", :given=>"Sylvan"}]	["A Short Guide to Writing about Literature"]			["1979"]
Required	[{:family=>"Monaco", :given=>"James"}]	["How to Read a Film: Movies, Media, Multimedia: Language, History, Theory"]			["2000"]
Required	[{:family=>"Agamben", :given=>"Giorgio"}]	["Preface, and “The Witness"]	chapter	["Remnants of Auschwitz: The Witness and the Archive"]	["2002"]
Required	[{:family=>"Brockmann", :given=>"Stephen"}]	["German Literary Culture at Zero Hour"]			["2004"]
Required	[{:family=>"Caruth", :given=>"Cathy"}]	["Literature and the Enactment of Memory: Duras, Resnais, Hiroshima, Mon amour"]	chapter	["Unclaimed Experience: Trauma, Narrative, and History"]	["1996"]
Required	[{:family=>"Halbwachs", :given=>"Maurice"}]	["Individual and Collective Memory,” and “Space and the Collective Memory"]	chapter	["On Collective Memory. Edited, translated and with an introduction by Lewis A. Coser"]	["1992"]
Required	[{:family=>"Hobsbawm", :given=>"Eric"}]	["The Age of Total War.” Chapter 1 in The Age of Extremes: A History of the World, 1914-1991"]	book		["1996"]
Required	[{:family=>"Huyssen", :given=>"Andreas"}]	["Twin Memories: After-Images of Nine/Eleven"]	article-journal	["Grey Room"]	["2002"]
Required	[{:family=>"Levi", :given=>"Primo"}]	["Argon,” “Carbon,” and “Hydrogen"]	chapter	["The Periodic Table"]	["1995"]
Required	[{:family=>"Munroe", :given=>"Alexandra"}]	["Revolt of the Flesh: Ankoku Butoh and Obsessional Art"]	chapter	["Chapter 9 in Japanese Art After 1945: Scream Against the Sky"]	["1994"]
Required	[{:family=>"Sarig", :given=>"Roni"}]	["The Postindustrial Wasteland,” and “Einstürzende Neubauten"]			
Required	[{:family=>"Viala", :given=>"Jean"}]	["The Return of Hijikata"]	chapter	["Foreword and Introduction"]	
Required	[{:family=>"Yoneyama", :given=>"Lisa"}]	["Phantasmatic Innocence,” “Tropes of the Nation, Peace, and Humanity,” “On the Politics of Historical Memory"]	article-journal	["Introduction), and “Memories in Ruins.” (Part 1, chapter 2). In Hiroshima Traces: Time, Space, and the Dialectics of Memory (Twentieth-Century Japan, the Emergence of a World Power"]	["1999"]
Required	[{:family=>"Young", :given=>"James"}]	["Germany’s Holocaust Memorial Problem and Mine"]	article-journal	["The Public Historian"]	["2002"]
Required	[{:family=>"Boyer", :given=>"Christine M."}]	["Meditations on a Wounded Skyline and Its Stratigraphies of Pain.” Chapter 10 in After the World Trade Center: Rethinking New York City"]			["2002"]
Required	[{:family=>"Hein", :given=>"Carola"}]	["Hiroshima: The atomic bomb and Kenzo Tange’s Hiroshima Peace Center"]	chapter	["Out of Ground Zero: Case Studies in Urban Reinvention"]	["2000"]
Required	[{:family=>"Sebald", :given=>"W.G."}]	["Air War and Literature"]	chapter	["On the Natural History of Destruction"]	["2003"]
Required	[{:family=>"Ladd", :given=>"Brian"}]	["Nazi Berlin"]	chapter	["The Ghosts of Berlin: Confronting German History in the Urban Landscape"]	
Required	[{:family=>"Ladd", :given=>"Brian"}]	["Capital of the New Germany"]	chapter	["The Ghosts of Berlin: Confronting German History in the Urban Landscape"]	["1997"]
Required	[{:family=>"Lentricchia", :given=>"Frank"}, {:family=>"McAuliffe", :given=>"Jody"}]	["Groundzeroland"]	chapter	["Crimes of Art and Terror"]	["2003"]
