Optional	[{:family=>"Morse", :given=>"D.E."}]	["Silicon Biotechnology: Harnessing Biological Silica Production to Construct New Materials"]	article-journal	["Tibtech"]	["1999-06"]
Optional	[{:family=>"Aizenberg", :given=>"J."}, {:others=>true}]	["Calcitic Microlenses as Part of the Photoreceptor System in Brittlestars"]	article-journal	["Nature"]	["2001-08-23"]
Required	[{:family=>"Kröger", :given=>"N."}, {:others=>true}]	["Polycationic Peptides from Diatom Biosilica that Direct Silica Nanosphere Formation"]	article-journal	["Science"]	["1999-11-05"]
Required	[{:family=>"Aizenberg", :given=>"J."}, {:others=>true}]	["Skeleton of Euplectella sp.: Structural Hierarchy from the Nanoscale to the Macroscale"]	article-journal	["Science"]	["2005-07-08"]
Required	[{:family=>"Aizenberg", :given=>"J."}, {:others=>true}]	["Biological glass fibers: Correlation between optical and structural properties"]	article-journal	["PNAS"]	["2004-03-09"]
Required	[{:family=>"Weiner", :given=>"S."}, {:family=>"Wagner", :given=>"H.D."}]	["The Material Bone: Structure-Mechanical Function Relations"]	article-journal	["Annu Rev Mater Sci"]	["1998"]
Required	[{:family=>"Weiner", :given=>"S."}, {:others=>true}]	["Lamellar Bone: Structure-Function Relations"]	article-journal	["Journal of Structural Biology"]	["1999"]
Required	[{:family=>"Weiner", :given=>"S."}, {:others=>true}]	["Peritubular Dentin Formation: Crystal Organization and the Macromolecular Constituents in Human Teeth"]	article-journal	["Journal of Structural Biology"]	["1999"]
Optional		["Biomimetic Materials Chemistry"]			["1996"]
Optional	[{:family=>"Simkiss", :given=>"K."}, {:family=>"Wilbur", :given=>"K."}]	["Biomineralization: Cell Biology and Mineral Deposition"]			["1989"]
Optional	[{:family=>"Frankel", :given=>"R."}, {:family=>"Blackmore", :given=>"R."}]	["Iron Biominerals"]			["1991"]
Optional	[{:family=>"Smith", :given=>"B.L."}, {:others=>true}]	["Molecularmechanistic Origin of the Toughness of Natural Adhesives, Fibres and Composites"]	article-journal	["Nature"]	["1999-06-24"]
Optional	[{:family=>"Coyne", :given=>"K."}, {:others=>true}]	["Extensible Collagen in Mussel Byssus: A Natural Block Copolymer"]	article-journal	["Science"]	["1997-09-09"]
Optional	[{:family=>"Pennisi", :given=>"E."}]	["Biology Reveals New Ways To Hold on Tight"]	article-journal	["Science"]	["2002-04-12"]
Required	[{:family=>"Deming", :given=>"T.J."}]	["Mussel Byssus and Biomolecular Materials"]	article-journal	["Current Opinion in Chemical Biology"]	["1999"]
Required	[{:family=>"Autumn", :given=>"K."}, {:others=>true}]	["Evidence for van der Waals Adhesion in Gecko Setae"]	article-journal	["PNAS"]	["2002-09-17"]
Required	[{:family=>"Geim", :given=>"A.K."}, {:others=>true}]	["Microfabricated Adhesive Mimicking Gecko Foot-hair"]	article-journal	["Nature Materials"]	["2003-07"]
Required	[{:family=>"Autumn", :given=>"K."}]	["Adhesive Force of a Single Gecko Foot-hair"]	article-journal	["Nature"]	["2000-06-08"]
Required	[{:family=>"Schnur", :given=>"J.M."}]	["Lipid Tubules: A Paradigm for Molecularly Engineered Structures"]	article-journal	["Science"]	["1993-12-10"]
Required	[{:family=>"Mahadevan", :given=>"L."}]	["Non-stick Water"]	article-journal	["Nature"]	["2001-06-21"]
Required	[{:family=>"Lvov", :given=>"Y.M."}, {:others=>true}]	["Imaging Nanoscale Patterns on Biologically Derived Microstructures"]	article-journal	["Langmuir"]	["2000"]
Required	[{:family=>"Schnur", :given=>"J.M."}, {:others=>true}]	["Diacetylenic Lipid Tubules: Experimental Evidence for a Chiral Molecular Architecture"]	article-journal	["Science"]	["1994-05-13"]
Required	[{:family=>"Spector", :given=>"M.S."}, {:others=>true}]	["Chiral Self-Assembly of Nanotubules and Ribbons from Phospholipid Mixtures"]	article-journal	["Nano Letters"]	["2001"]
