author	title	type	collection	year	_merge	category
"[{:family=>""Minorsky"", :given=>""Nicholas""}]"	Nonlinear Oscillations			1974	both	Optional
"[{:family=>""Nayfeh"", :given=>""Ali Hasan""}, {:family=>""Mook"", :given=>""Dean T.""}]"	Nonlinear Oscillations			1995	both	Optional
"[{:family=>""Stoker"", :given=>""J.J.""}]"	Nonlinear Vibrations in Mechanical and Electrical Systems			1992	both	Optional
"[{:family=>""Den Hartog"", :given=>""J.P.""}]"	Mechanical Vibrations			1985	both	Optional
"[{:family=>""Andronov"", :given=>""A.A.""}, {:family=>""Vitt"", :given=>""A.A.""}, {:family=>""Khaikin"", :given=>""S.E.""}]"	Theory of Oscillators			1987	both	Optional
"[{:family=>""Hayashi"", :given=>""Chihiro""}]"	Nonlinear Oscillations in Physical Systems			1986	both	Optional
"[{:family=>""Pippard"", :given=>""A.B.""}]"	Response and Stability: An Introduction to the Physical Theory			1985	both	Optional
"[{:family=>""Strogatz"", :given=>""Steven H.""}]"	Nonlinear Dynamics and Chaos: With Applications to Physics			2001	both	Optional
"[{:family=>""Iooss"", :given=>""Gerard""}, {:family=>""Joseph"", :given=>""Daniel D.""}]"	Elementary Stability and Bifurcation Theory			2004	both	Optional
"[{:family=>""Whitham"", :given=>""G.B.""}]"	Linear and Nonlinear Waves			2006	both	Optional
"[{:family=>""Craik"", :given=>""Alex D.D.""}]"	Wave Interactions and Fluid Flows			1999	both	Optional
"[{:family=>""Drazin"", :given=>""P.G.""}]"	Nonlinear Systems			1992	both	Optional
"[{:family=>""Newell"", :given=>""Alan C.""}]"	Solitons in Mathematics and Physics			1987	both	Optional
"[{:family=>""Dauxois"", :given=>""Thierry""}, {:family=>""Peyrard"", :given=>""Michel""}]"	Physics of Solitons			2006	both	Optional
