Optional	[{:family=>"Gopen", :given=>"G."}, {:family=>"Swan", :given=>"J."}]	["The Science of Scientific Writing"]	book		["1990"]
Optional	[{:family=>"Fleming", :given=>"Michael"}]	["Academic Honesty and Avoiding Plagiarism: A Self-Guided Tutorial"]	book		
