author	title	type	collection	year	_merge	category
"[{:family=>""Paluch"", :given=>""Ilga""}]"	The Entrainment Mechanism in Colorado Cumuli	article-journal	Journal of the Atmospheric Science	1979	both	Required
"[{:family=>""Romps"", :given=>""David""}, {:family=>""Kuang"", :given=>""Zhiming""}]"	Do Undiluted Convective Plumes Exist in the Upper Tropical Troposphere?	article-journal	Journal of the Atmospheric Science	2010	both	Required
"[{:family=>""Held"", :given=>""Isaac M.""}, {:family=>""Hou"", :given=>""Arthur Y.""}]"	Nonlinear Axially Symmetric Circulations in a Nearly Inviscid Atmosphere	article-journal	Journal of the Atmospheric Sciences	1980	both	Optional
"[{:family=>""Lindzen"", :given=>""Richard S.""}, {:family=>""Hou"", :given=>""Arthur V.""}]"	Hadley Circulations for Zonally Averaged Heating Centered off the Equator	article-journal	Journal of the Atmospheric Sciences	1988	both	Optional
"[{:family=>""Plumb"", :given=>""R.Alan""}, {:family=>""Hou"", :given=>""Arthur Y.""}]"	The Response of a Zonally Symmetric Atmosphere to Subtropical Thermal Forcing: Threshold Behavior	article-journal	Journal of the Atmospheric Sciences	1992	both	Optional
"[{:family=>""Emanuel"", :given=>""Kerry A.""}]"	Notes and Correspondence on Thermally Direct Circulations in Moist Atmospheres	article-journal	Journal of the Atmospheric Science	1995	both	Optional
"[{:family=>""Pauluis"", :given=>""Olivier""}]"	Boundary Layer Dynamics and Cross–Equatorial Hadley Circulation	article-journal	Journal of the Atmospheric Sciences	2004	both	Optional
"[{:family=>""Walker"", :given=>""Christopher C.""}, {:family=>""Schneider"", :given=>""Tapio""}]"	Eddy Influences on Hadley Circulations: Simulations with an Idealized GCM	article-journal	Journal of Atmospheric Sciences	2006	both	Optional
"[{:family=>""Emanuel"", :given=>""Kerry A.""}, {:others=>true}]"	On Large–Scale Circulations in Convecting Atmospheres	article-journal	Quarterly Journal of the Royal Meteorological Society	1994	both	Optional
"[{:family=>""Sobel"", :given=>""Adam H.""}, {:family=>""Bretherton"", :given=>""Christopher S.""}]"	Modeling Tropical Precipitation in a Single Column	article-journal	Journal of Climate	2000	both	Optional
"[{:family=>""Molnar"", :given=>""Peter""}, {:family=>""Emanuel"", :given=>""Kerry A.""}]"	Temperature Profiles in Radiative–Convective Equilibrium above Surfaces at Different Heights	article-journal	Journal of Geophysical Research	1999	both	Optional
"[{:family=>""Chou"", :given=>""C.""}, {:family=>""Neelin"", :given=>""J.D.""}, {:others=>true}]"	Ocean–atmosphere–land Feedbacks in an Idealized Monsoon	article-journal	Quarterly Journal of the Royal Meteorological Society	2001	both	Optional
"[{:family=>""Rodwell"", :given=>""M.J.""}, {:family=>""Hoskins"", :given=>""B.J.""}]"	Subtropical Anticyclones and Summer Monsoons	article-journal	Journal of Climate	2001	both	Optional
"[{:family=>""Madden"", :given=>""Roland A.""}, {:family=>""Julian"", :given=>""Paul R.""}]"	Description of Global–Scale Circulation Cells in the Tropics with a 40–50 Day Period	article-journal	Journal of the Atmospheric Sciences	1972	both	Optional
"[{:family=>""Wheeler"", :given=>""Matthew""}, {:family=>""Kiladis"", :given=>""George N.""}]"	Convectively Coupled Equatorial Waves: Analysis of Clouds and Temperature in the Wavenumber–Frequency Domain	article-journal	Journal of the Atmospheric Sciences	1999	both	Optional
"[{:family=>""Reed"", :given=>""Richard J.""}, {:family=>""Norquist"", :given=>""Donald C.""}, {:others=>true}]"	The Structure and Properties of African Wave Disturbances as Observed during Phase III of GATE	article-journal	Monthly Weather Review	1977	both	Optional
"[{:family=>""Reed"", :given=>""Richard J.""}, {:family=>""Recker"", :given=>""Ernest E.""}]"	Structure and Properties of Syntopic–Scale Wave Disturbances in the Equatorial Western Pacific	article-journal	Journal of Atmospheric Sciences	1971	both	Optional
"[{:family=>""Diedhiou"", :given=>""A.""}, {:others=>true}]"	Composite Pattern of Easterly Disturbances over West Africa and the Tropical Atlantic: A Climatology from the 1979–95 NCEP/NCAR Reanalyses	article-journal	Climate Dynamics	2001	both	Optional
"[{:family=>""Jeremy"", :given=>""Grist P.""}, {:others=>true}]"	Easterly Waves over Africa. Part II: Observed and Modeled Contrasts between Wet and Dry Years	article-journal	Monthly Weather Review	2002	both	Optional
"[{:family=>""Pytharoulis"", :given=>""Ioannis""}, {:family=>""Thorncoft"", :given=>""Chris""}]"	The Low–Level Structure of African Easterly Waves in 1995	article-journal	Monthly Weather Review	1999	both	Optional
"[{:family=>""Thorncroft"", :given=>""Chris""}, {:family=>""Hodges"", :given=>""Kevin""}]"	African Easterly Wave Variability and Its Relationship to Atlantic Tropical Cyclone Activity	article-journal	Journal of Climate	2001	both	Optional
"[{:family=>""Petersen"", :given=>""Walter A.""}, {:others=>true}]"	Convection and Easterly Wave Structures Observed in the Eastern Pacific Warm Pool during EPIC–2001	article-journal	Journal of the Atmospheric Sciences	2003	both	Optional
"[{:family=>""Emanuel"", :given=>""Kerry A.""}]"	The Behavior of a Simple Hurricane Model using a Convective Scheme based on Subcloud–layer Entropy Equilibrium	article-journal	Journal of the Atmospheric Sciences	1995	both	Optional
"[{:family=>""Plumb"", :given=>""Alan R.""}, {:family=>""Hou"", :given=>""Arthur Y.""}]"	The Response of a Zonally Symmetric Atmosphere to Subtropical Thermal Forcing: Threshold Behavior	article-journal	Journal of the Atmospheric Sciences	1992	right_only	Optional
"[{:family=>""Emanuel"", :given=>""Kerry A.""}]"	Notes and Correspondence on Thermally Direct Circulations in Moist Atmospheres	article-journal	Journal of the Atmospheric Sciences	1995	right_only	Optional
