Required	[{:family=>"Wolf", :given=>"Christa"}]	["Accident: A Day’s News"]			["2001"]
Required	[{:family=>"Puig", :given=>"Manuel"}]	["Kiss of the Spider Woman"]			["1991"]
Required	[{:given=>"Anonymous"}]	["Lazarillo de Tormes and The Swindler: Two Spanish Picaresque Novels"]			["2003"]
Required	[{:family=>"Fuentes", :given=>"Carlos Aura"}]				["1977"]
Required	[{:family=>"Laclos", :given=>"Choderlos", :particle=>"de"}, {:given=>"Pierre"}]	["Les Liaisons Dangereuses"]			["1999"]
Required	[{:family=>"Dostoyevsky", :given=>"Fyodor"}]	["Notes from Underground"]			["1994"]
Required	[{:family=>"Calvino", :given=>"Italo"}]	["Cosmicomics"]			["1976"]
Required	[{:family=>"Gaite", :given=>"Martin"}, {:given=>"Carmen"}]	["The Back Room"]			["2000"]
Required	[{:family=>"Kafka", :given=>"Franz"}]	["The Metamorphosis"]			["1972"]
Required	[{:family=>"Zola", :given=>"Émile"}]	["Therese Raquin"]			["1962"]
Required	[{:family=>"Assis", :given=>"Machado", :particle=>"de"}, {:given=>"Joaquim"}]	["Dom Casmurro"]			["1998"]
