author	title	type	collection	year	_merge	category
"[{:family=>""Lorenz"", :given=>""E.N.""}]"	The Nature and Theory of the General Circulation of the Atmosphere	book		1967	both	Required
"[{:family=>""Peixoto"", :given=>""J.P.""}, {:family=>""Oort"", :given=>""A.H.""}]"	Physics of Climate			1992	both	Required
"[{:family=>""Oort"", :given=>""A.H.""}]"	Adequacy of the rawinsonde network for global circulation studies tested through numerical model output	article-journal	Mon Wea Rev	1978	both	Optional
"[{:family=>""Bengtsson"", :given=>""L.""}, {:others=>true}]"	FGGE 4-dimensional data assimilation at ECMWF	article-journal	Bull Amer Meteor Soc	1982	both	Optional
"[{:given=>""Rosen""}, {:others=>true}]"	Circulation statistics derived from level lll-b and station-based analyses during FGGE	article-journal	Mon Wea Rev	1985	both	Optional
"[{:family=>""Kalnay"", :given=>""E.""}, {:others=>true}]"	The NCEP/NCAR 40-year re-analysis project	article-journal	Bull Amer Meteor Soc	1996	both	Optional
"[{:family=>""Rabier"", :given=>""F.""}, {:others=>true}]"	The ECMWF operational implementation of four-dimensional variational assimilation	chapter	Q J Roy Meteor Soc 126		both	Optional
"[{:family=>""Trenberth"", :given=>""K.""}, {:others=>true}]"	The atmospheric energy budget and implications for surface fluxes and ocean heat transports	article-journal	Climate Dyn	2001	both	Optional
"[{:given=>""Starr""}, {:others=>true}]"	Momentum and zonal kinetic energy balance of the atmosphere from five years of hemisphere data	article-journal	Tellus	1970	both	Optional
"[{:given=>""Starr""}, {:given=>""Gaut""}]"	Symmetrical formulation of the zonal kinetic energy equation	article-journal	Tellus	1969	both	Optional
"[{:given=>""Newton""}]"	Mountain torques in the global angular momentum balance	article-journal	J Atmos Sci		both	Optional
	Global angular momentum balance: earth torque and atmospheric fluxes	article-journal	J Atmos Sci		left_only	Optional
"[{:family=>""Newton"", :given=>""C.W.""}]"	Southern hemisphere general circulation in relation to global energy and momentum balance requirements	article-journal	Meteorology of the Southern Hemisphere. Meteorol Monogr 13	1971	both	Optional
"[{:given=>""Rosen""}, {:others=>true}]"	Variability in the annual fields of large-scale atmospheric water transport	article-journal	Mon Wea Rev	1979	both	Optional
"[{:family=>""Oort"", :given=>""A.H.""}, {:family=>""Peixoto"", :given=>""J.P.""}]"	Global angular momentum and energy balance requirements from observations	article-journal	Adv Geophys	1983	both	Optional
"[{:given=>""Huang""}, {:others=>true}]"	The balance of global angular momentum in a long-term atmospheric data set	article-journal	J Geophys Res	1999	both	Optional
"[{:given=>""Peixoto""}]"	Pole-to-pole water balance for the IGY from aerological data	article-journal	Nordic Hydrology	1972	both	Optional
"[{:given=>""Peixoto""}, {:given=>""Oort""}]"	The atmospheric branch of the hydrological cycle and climate	chapter	Variations in the Global Water Budget	1983	both	Optional
"[{:family=>""Adler"", :given=>""Robert F.""}, {:others=>true}]"	The Version-2 Global Precipitation Climatology Project (GPCP) Monthly Precipitation Analysis (1979-Present	article-journal	Journal of Hydrometeorology	2003	both	Optional
"[{:family=>""Andersson"", :given=>""Erik""}, {:others=>true}]"	Assimilation and modeling of the atmospheric hydrological cycle in the ECMWF forecasting system	article-journal	Bulletin of the AMS	2004	both	Optional
"[{:family=>""Haar"", :given=>""Vonder""}, {:given=>""Suomi""}]"	Measurements of the Earth’s radiation budget from satellites during a 5-year period	article-journal	J Atmos Sci	1971	both	Optional
"[{:given=>""Oort""}]"	The observed annual cycle in the meridional transport of atmospheric energy	article-journal	J Atmos Sci	1971	both	Optional
"[{:family=>""Oort"", :given=>""A.H.""}, {:family=>""Rasmusson"", :given=>""E.M.""}]"	Atmospheric circulation statistics	chapter	NOAA Prof Pap 5		both	Optional
