author	title	type	collection	year	_merge	category
"[{:family=>""Durran"", :given=>""Dale R.""}]"	Numerical Methods for Wave Equations in Geophysical Fluid Dynamics			1998	both	Optional
"[{:family=>""Haidvogel"", :given=>""Dale B.""}, {:family=>""Beckmann"", :given=>""Aike""}]"	Numerical Ocean Circulation Modeling			1999	both	Optional
"[{:family=>""Haltiner"", :given=>""George J.""}, {:family=>""Williams"", :given=>""Roger T.""}]"	Numerical Prediction and Dynamic Meteorology			1980	both	Optional
"[{:family=>""Jacobson"", :given=>""Mark Z.""}]"	Fundamentals of Atmospheric Modeling			1998	both	Optional
"[{:family=>""Kantha"", :given=>""Lakshmi H.""}]"	Numerical Models of Oceans and Oceanic Processes			2000	both	Optional
"[{:family=>""Pedlosky"", :given=>""Joseph""}]"	Ocean Circulation Theory			2004	both	Optional
