author	title	type	collection	year	_merge	category
"[{:family=>""Gordon"", :given=>""Deborah""}]"	American Transportation in the 20th Century.” Steering a New Course: Transportation			1991	both	Required
"[{:family=>""Hardin"", :given=>""G.""}]"	The Tragedy of the Commons	article-journal	Science	1968-12	both	Required
"[{:family=>""Weiner"", :given=>""E.""}]"	History of Urban Transportation Planning	chapter	Urban Transportation Planning in the United States: An Historical Overview Revised	1992	both	Required
	Environmental Policy from 1970s to the 1990s.” Environmental Policy: New Directions for the Twenty-First Century			2005	both	Required
"[{:family=>""Paehlke"", :given=>""R.""}]"	Environmental Values and Public Policy			1997	both	Required
"[{:family=>""Nivola"", :given=>""P.""}, {:family=>""Crandall"", :given=>""R.""}]"	The Policy Problem”			1995	both	Required
"[{:family=>""Gordon"", :given=>""Deborah""}]"	Ultra-Fuel-Efficient Vehicles.” Steering a New Course: Transportation			1991	both	Required
"[{:family=>""Howitt"", :given=>""A.""}, {:family=>""Altshuler"", :given=>""A.""}]"	The Politics of Controlling Auto Air Pollution	article-journal	Regulation for Revenue	1993	both	Required
"[{:family=>""Nivola"", :given=>""P.""}, {:family=>""Crandall"", :given=>""R.""}]"	The Fuel Tax Option”			1995	both	Required
"[{:family=>""Gomez-Ibanez"", :given=>""J.A.""}]"	Pricing	article-journal	Transportation Quarterly	1992-07	both	Required
"[{:family=>""Freudenburg"", :given=>""Nicolas""}, {:family=>""Steinsapir"", :given=>""Carol""}]"	Not in Our Backyards: The Grassroots Environmental Movement	chapter	American Environmentalism: The U.S. Environmental Movement	1970	both	Required
"[{:family=>""Dempsey"", :given=>""P.""}, {:family=>""Goetz"", :given=>""A.""}, {:family=>""Szyliowicz"", :given=>""J.""}]"	Three Hubs to One: The Folly of Forecasting in the Dynamic Airline Industry	chapter	Denver International Airport: Lessons Learned	1997	both	Required
"[{:family=>""Kuttner"", :given=>""R.""}]"	Everything For Sale: The Limits of Markets			1997	both	Required
"[{:family=>""Bullard"", :given=>""R.""}]"	Environmentalism and Social Justice	chapter	US Department of Transportation Order on Environmental		both	Required
"[{:family=>""Rosenbaum"", :given=>""W.""}]"	Climate Diplomacy: The Emerging Politics of Global Environmentalism	chapter	Environmental Politics and Policy	1998	both	Required
"[{:family=>""Gore"", :given=>""A.""}]"	Earth in the Balance			1993	both	Required
"[{:family=>""Nijkamp"", :given=>""P.""}]"	Roads to Environmentally Sustainable Transport	article-journal	Transportation Research	1994	both	Required
"[{:family=>""Schaefer"", :given=>""A.""}, {:family=>""Victor"", :given=>""D.""}]"	The Past and Future of Global Mobility	chapter	Scientific American	1997-10	both	Required
"[{:family=>""Part"", :given=>""I.""}, {:family=>""Concerns"", :given=>""Common""}]"	Our Common Future. The World Commission on Environment and Development			1987	both	Required
