author	title	type	collection	year	_merge	category
"[{:family=>""Acemoglu"", :given=>""D.""}]"	Introduction to Modern Economic Growth	book		2007	both	Required
"[{:family=>""Barro"", :given=>""R.J.""}, {:family=>""Sala-i-Martin"", :given=>""X.""}]"	Economic Growth			1995	both	Required
"[{:family=>""Barro"", :given=>""R.""}]"	Determinants of Economic Growth: A Cross-Country Empirical Study			1997	both	Optional
"[{:family=>""Hall"", :given=>""R.""}, {:family=>""Jones"", :given=>""C.""}]"	Why Do Some Countries Produce So Much More Output than Others?	article-journal	Quarterly Journal of Economics	1999	both	Optional
"[{:family=>""Jones"", :given=>""C.""}]"	On the Evolution of the World Income Distribution	article-journal	Journal of Economic Perspectives	1997	both	Optional
"[{:family=>""Klenow"", :given=>""P.""}, {:family=>""Rodríguez-Clare"", :given=>""A.""}]"	The Neoclassical Revival in Growth Economics: Has It Gone Too Far?	chapter	Chapter 2 in NBER Macroeconomics Annual 1997	1997	both	Optional
"[{:family=>""Klenow"", :given=>""P.""}, {:family=>""Bils"", :given=>""M.""}]"	Does Schooling Cause Growth?	article-journal	American Economic Review	2000	both	Optional
"[{:family=>""Mankiw"", :given=>""N.G.""}, {:family=>""Romer"", :given=>""D.""}, {:family=>""Weil"", :given=>""D.""}]"	A Contribution to the Empirics of Economic Growth	article-journal	Quarterly Journal of Economics	1992	both	Optional
"[{:family=>""Solow"", :given=>""R.M.""}]"	A Contribution to the Theory of Economic Growth	article-journal	Quarterly Journal of Economics	1956	both	Optional
	Growth Theory: An Exposition			2000	left_only	Optional
"[{:family=>""Blanchard"", :given=>""O.""}, {:family=>""Fischer"", :given=>""S.""}]"	Lectures on Macroeconomics			1989	both	Optional
"[{:family=>""Cass"", :given=>""D.""}]"	Optimum Growth in an Aggregative Model of Capital Accumulation: A Turnpike Theorem	article-journal	Econometrica	1966	both	Optional
