Required	[{:family=>"Dixon", :given=>"Jesse R."}, {:others=>true}]	["Topological Domains in Mammalian Genomes Identified by Analysis of Chromatin Interactions"]	article-journal	["Nature"]	["2012"]
Required	[{:family=>"Alvarado", :given=>"Jose"}, {:others=>true}]	["Molecular Motors Robustly Drive Active Gels to a Critically Connected State"]	article-journal	["Nature Physics"]	["2013"]
Required	[{:family=>"Carnall", :given=>"Jacqui M.A."}, {:others=>true}]	["Mechanosensitive Self–replication Driven by Self–organization"]	article-journal	["Science"]	["2010"]
Required	[{:family=>"Nia", :given=>"Tavakoli"}, {:others=>true}]	["Aggrecan Nanoscale Solid–fluid Interactions are a Primary Determinant of Cartilage Dynamic Mechanical Properties"]	article-journal	["ACS Nano"]	["2015"]
Required	[{:family=>"Macosko", :given=>"Evan Z."}, {:others=>true}]	["Highly Parallel Genome–wide Expression Profiling of Individual Cells Using Nanoliter Droplets"]	article-journal	["Cell"]	["2015"]
Required	[{:family=>"Yoshida", :given=>"Takehito"}, {:others=>true}]	["Rapid Evolution Drives Ecological Dynamics in a Predator–prey System"]	article-journal	["Nature"]	["2003"]
Required	[{:family=>"Koski", :given=>"Kristie J."}, {:others=>true}]	["Non–invasive Etermination of the Complete Elastic Moduli of Spider Silks"]	article-journal	["Nature Materials"]	["2013"]
Required	[{:family=>"Scott", :given=>"Mathew"}, {:others=>true}]	["Interdependence of Cell Growth and Gene Expression: Origins and Consequences](http://dx.doi.org/ 10.1126/science.1192588"]	article-journal	["Science"]	["2010"]
Required	[{:given=>"Meharenna"}, {:others=>true}]	["Crystallographic and Single–Crystal Spectral Analysis of the Peroxidase Ferryl Intermediate"]	article-journal	["Biochemistry"]	["2010"]
Required	[{:family=>"Zaks", :given=>"Julia"}, {:others=>true}]	["A Kinetic Model of Rapidly Reversible Nonphotochemical Quenching"]	article-journal	["Proceedings of the National Academy of Sciences 109"]	["2015"]
Required	[{:family=>"Hammar", :given=>"Petter"}, {:others=>true}]	["The Lac Repressor Displays Facilitated Diffusion in Living Cells](http://dx.doi.org/ 10.1126/science.1221648"]	article-journal	["Science"]	["2012"]
Required	[{:given=>"Campas"}, {:others=>true}]	["Quantifying Cell–generated Mechanical Forces within Living Embryonic Tissues"]	article-journal	["Nature Methods"]	["2014"]
Optional	[{:family=>"Giddings", :given=>"Morgan C."}]	["On the Process of Becoming a Great Scientist"]	article-journal	["PLOS Computational Biology"]	["2008"]
Optional	[{:family=>"Erren", :given=>"Thomas C."}, {:others=>true}]	["Ten Simple Rules for Doing Your Best Research, According to Hamming"]	article-journal	["PLOS Computational Biology"]	["2007"]
Optional	[{:family=>"Alon", :given=>"Uri"}]	["How to Choose a Good Scientific Problem"]	article-journal	["Molecular Cell"]	["2009"]
Optional	[{:family=>"Whitesides", :given=>"George M."}]	["Whitesides’ Group: Writing a Paper"]	article-journal	["Advanced Materials"]	["2004"]
Optional	[{:family=>"Doerr", :given=>"Allison"}]	["How to Write a Cover Letter"]	article-journal	["Nature Methods"]	["2013"]
Optional		["How to Navigate a Scientific Paper with Time Constraints: A Graphic Approach"]			
Optional	[{:family=>"Drubin", :given=>"David G."}]	["Any Jackass can Trash a Manuscript, but it Takes Good Scholarship to Create One (How MBoC Promotes Civil and Constructive Peer Review"]	article-journal	["Molecular Biology of the Cell"]	["2011"]
Optional	[{:family=>"Wong", :given=>"Bang"}]	["Points of View: Gestalt Principles (Part 1"]	article-journal	["Nature Methods"]	["2010"]
Optional	[{:family=>"Wong", :given=>"Bang"}]	["Points of View: Gestalt Principles (Part 2"]	article-journal	["Nature Methods"]	["2010"]
Optional	[{:family=>"McConnell", :given=>"Susan"}]	["Designing Effective Scientific Presentations"]	chapter	["iBiology.org"]	
Optional	[{:family=>"McConnell", :given=>"Susan"}]	["The Importance of Giving a Good Talk"]	chapter	["iBiology.org"]	
Optional	[{:family=>"Glass", :given=>"Bentley"}]	["The Ethical Basis of Science"]	article-journal	["Science"]	["1965"]
Optional	[{:family=>"Engineering"}, {:family=>"Science", :given=>"Public Policy Committee", :particle=>"on"}, {:family=>"Medicine", :given=>"Institute", :particle=>"of"}, {:others=>true}]	["On Being a Scientist: A Guide to Responsible Conduct in Research"]			["2009"]
Optional	[{:family=>"Austin", :given=>"Jim"}, {:family=>"Alberts", :given=>"Bruce"}]	["Planning Career Paths for Ph.D.s](http://dx.doi.org/ 10.1126/science.1226552"]	article-journal	["Science"]	["2012"]
