author	title	type	collection	year	_merge	category
"[{:family=>""book"", :given=>""The"", :particle=>""draft of the""}, {:family=>""Peña-Mora"", :given=>""F.""}, {:family=>""Anumba"", :given=>""C.""}, {:family=>""Lyneis"", :given=>""J.""}, {:family=>""Soibelman"", :given=>""L.""}, {:family=>""Park"", :given=>""M.""}, {:family=>""Samii"", :given=>""M.""}, {:family=>""Kalligeros"", :given=>""K.""}]"	System and Project Management	chapter	MIT/Prentice Hall Textbook Series on Civil		left_only	Required
"[{:family=>""Hendrickson"", :given=>""Chris""}]"	Project Management for Construction				left_only	Required
"[{:family=>""O’Leary""}, {:given=>""Acret""}]"	Construction Nightmares	book		2001	left_only	Required
"[{:family=>""Hendrickson"", :given=>""Chris""}]"	Chapter 1 in Project Management for Construction				left_only	Required
"[{:family=>""Peña-Mora"", :given=>""F.""}, {:family=>""Anumba"", :given=>""C.""}, {:family=>""Lyneis"", :given=>""J.""}, {:family=>""Soibelman"", :given=>""L.""}, {:family=>""Park"", :given=>""M.""}, {:family=>""Samii"", :given=>""M.""}, {:family=>""Kalligeros"", :given=>""K.""}]"	Engineering Economy with Uncertainity	chapter	System and Project Management. MIT/Prentice Hall Textbook Series on Civil		left_only	Required
"[{:family=>""Peña-Mora"", :given=>""F.""}, {:family=>""Anumba"", :given=>""C.""}, {:family=>""Lyneis"", :given=>""J.""}, {:family=>""Soibelman"", :given=>""L.""}, {:family=>""Park"", :given=>""M.""}, {:family=>""Samii"", :given=>""M.""}, {:family=>""Kalligeros"", :given=>""K.""}]"	Project Participants	chapter	System and Project Management. MIT/Prentice Hall Textbook Series on Civil		left_only	Required
"[{:family=>""Peña-Mora"", :given=>""F.""}, {:family=>""Anumba"", :given=>""C.""}, {:family=>""Lyneis"", :given=>""J.""}, {:family=>""Soibelman"", :given=>""L.""}, {:family=>""Park"", :given=>""M.""}, {:family=>""Samii"", :given=>""M.""}, {:family=>""Kalligeros"", :given=>""K.""}]"	Estimating	chapter	System and Project Management. MIT/Prentice Hall Textbook Series on Civil		left_only	Required
"[{:family=>""Peña-Mora"", :given=>""F.""}, {:family=>""Anumba"", :given=>""C.""}, {:family=>""Lyneis"", :given=>""J.""}, {:family=>""Soibelman"", :given=>""L.""}, {:family=>""Park"", :given=>""M.""}, {:family=>""Samii"", :given=>""M.""}, {:family=>""Kalligeros"", :given=>""K.""}]"	Project Planning	chapter	System and Project Management. MIT/Prentice Hall Textbook Series on Civil		left_only	Required
"[{:family=>""Peña-Mora"", :given=>""F.""}, {:family=>""Anumba"", :given=>""C.""}, {:family=>""Lyneis"", :given=>""J.""}, {:family=>""Soibelman"", :given=>""L.""}, {:family=>""Park"", :given=>""M.""}, {:family=>""Samii"", :given=>""M.""}, {:family=>""Kalligeros"", :given=>""K.""}]"	Performance Analysis	chapter	System and Project Management. MIT/Prentice Hall Textbook Series on Civil		left_only	Required
"[{:family=>""Peña-Mora"", :given=>""F.""}, {:family=>""Anumba"", :given=>""C.""}, {:family=>""Lyneis"", :given=>""J.""}, {:family=>""Soibelman"", :given=>""L.""}, {:family=>""Park"", :given=>""M.""}, {:family=>""Samii"", :given=>""M.""}, {:family=>""Kalligeros"", :given=>""K.""}]"	Control Actions	chapter	System and Project Management. MIT/Prentice Hall Textbook Series on Civil		left_only	Required
"[{:family=>""Peña-Mora"", :given=>""F.""}, {:family=>""Anumba"", :given=>""C.""}, {:family=>""Lyneis"", :given=>""J.""}, {:family=>""Soibelman"", :given=>""L.""}, {:family=>""Park"", :given=>""M.""}, {:family=>""Samii"", :given=>""M.""}, {:family=>""Kalligeros"", :given=>""K.""}]"	Project Dynamics	chapter	System and Project Management. MIT/Prentice Hall Textbook Series on Civil		left_only	Required
"[{:family=>""Peña-Mora"", :given=>""F.""}, {:family=>""Anumba"", :given=>""C.""}, {:family=>""Lyneis"", :given=>""J.""}, {:family=>""Soibelman"", :given=>""L.""}, {:family=>""Park"", :given=>""M.""}, {:family=>""Samii"", :given=>""M.""}, {:family=>""Kalligeros"", :given=>""K.""}]"	Project Reviews	chapter	System and Project Management. MIT/Prentice Hall Textbook Series on Civil		left_only	Required
"[{:family=>""Peña-Mora"", :given=>""F.""}, {:family=>""Anumba"", :given=>""C.""}, {:family=>""Lyneis"", :given=>""J.""}, {:family=>""Soibelman"", :given=>""L.""}, {:family=>""Park"", :given=>""M.""}, {:family=>""Samii"", :given=>""M.""}, {:family=>""Kalligeros"", :given=>""K.""}]"	Project Closeout	chapter	System and Project Management. MIT/Prentice Hall Textbook Series on Civil		left_only	Required
"[{:family=>""Schtub"", :given=>""A.""}, {:family=>""Bard"", :given=>""J.""}, {:family=>""Globerson"", :given=>""S.""}]"	Project Management: Engineering Technology			1994	both	Optional
"[{:family=>""Iansiti"", :given=>""M.""}, {:family=>""MacCormack"", :given=>""A.""}]"	Developing Products on Internet Time			1997	both	Optional
"[{:family=>""al"", :given=>""Ward"", :particle=>""et.""}]"	The Second Toyota Paradox: How Delaying Decisions Can Make Better Cars Faster	article-journal	Sloan Management Review	1995	both	Optional
"[{:family=>""Henderson"", :given=>""R.""}]"	Managing Innovation in the Information Age	article-journal	Harvard Business Review	1994	both	Optional
"[{:family=>""Hameri"", :given=>""A.P.""}, {:family=>""Nihtila"", :given=>""J.""}]"	Distributed New Product Development Project Based on Internet and World-Wide Web	article-journal	Journal of Production Innovation & Management	1997	both	Optional
"[{:family=>""Chambers"", :given=>""C.A.""}]"	Transforming New Product Development	article-journal	Research-Technology Management	1996-11	left_only	Optional
"[{:family=>""McCord"", :given=>""K.R.""}, {:family=>""Eppinger"", :given=>""S.D.""}]"	Managing the Integration Problem in Engineering	article-journal	MIT Sloan School of Management Working Paper	1993-08	both	Optional
"[{:family=>""Thamhain"", :given=>""H.""}]"	Engineering Management			1992	left_only	Optional
"[{:family=>""Schtub"", :given=>""A.""}, {:family=>""Bard"", :given=>""J.""}, {:family=>""Globerson"", :given=>""S.""}]"	Chapter 10 in Project Management: Engineering Technology			1994	both	Optional
"[{:family=>""Suh"", :given=>""N.""}]"	Chapters 4 and 6 in Principles of Design			1990	both	Optional
"[{:family=>""Naylor"", :given=>""H.F.""}]"	Chapter 2 in Construction Project Management			1995	both	Optional
"[{:family=>""Schtub"", :given=>""A.""}, {:family=>""Bard"", :given=>""J.""}, {:family=>""Globerson"", :given=>""S.""}]"	Project Management: Engineering Technology	book		1994	left_only	Optional
